row_no,cand_id,version,op,status,title,conditions,difficulty,cause_hypothesis,possible_change,strongest_alternative,decision_shift,next_cheap_check,new_evidence,new_evidence_source,evidence_judgment,old_topic_match,similar_to,merged_into,supersedes_row,content_hash,source,writer,written_at,note
1,cc72be0cbef,1,add,awaiting_evidence,星历可预报的链路剩余寿命不在任何观测向量里（切换时刻的到达率坑）,逐包逐跳路由；某出ISL将在τ_ho后关闭；GSL约15s周期中断（实测）；ISL切换按星历完全可预测；剩余寿命本地零成本可得,在途包撞上将死链路则丢失或最后一刻重路由，切换窗口形成交付坑；LOZANO 28维状态/CHOU eq.(3)/LIAQ状态/HE观测均无寿命字段（已核原文）；断链只在状态里事后编码为拥塞=∞,可预报性被闲置：可预报性的唯一用点=LOZANO eq.(13) 模型继承（模型层），不在观测/动作层,观测加入k个出ISL的星历剩余寿命；屏蔽寿命不足的动作（或作特征）；在LOZANO模拟器开启连续拓扑（非15s快照）对照,固定规则：切换前T秒禁用该ISL可拿走大部分收益；成熟RL+更密快照缓解不消除；下一快照拓扑入观测与寿命字段近等价（增量薄）,动作屏蔽（安全RL式）+观测特征,LOZANO模拟器加连续拓扑与切换事件戳，统计切换窗口 vs 非窗口丢包率差（2-3天）,,,,,,,,haa9dadab679e,path-B/卡3,agent/20260910-topic-loop/miniflow,2026-09-10T21:21:17+0800,
2,cc72be0cbef,2,revise,awaiting_evidence,星历可预报的链路剩余寿命不在任何观测向量里（切换时刻的到达率坑）,逐包逐跳路由；主决策时刻=ISL 转发决策，第二时刻=GSL 出口决策（承重实测证据在 GSL/接入层，对位说明为通过前置）；ISL 遥断限'标称星历下的计划内遥断'（SHORT/MobiCom'24 提示轨道机动与随机失效弱化可预报性，计划内事件占比待统计）；τ_ho 为本地星历可计算的每-ISL 秒级标量（非通信获取）；GSL≈15s 周期中断为实测锚但 15s 非普适（STARTCAP 单终端样本警告，待回原文）；IZHIKEVICH 15s 尖峰为'对齐已报道周期'且全文无丢包数据（不直接承重交付坑）,在途包撞上将死 ISL→丢失或最后一刻重路由（推演，尚无数字支撑；切换窗口丢包统计已升为前置核验）；LOZANO 28 维状态/CHOU eq.(3)/LIAQ 状态/HE 观测均无寿命字段（证据审查逐字命中）；断链只事后编码（'拥塞=∞'+不可用链路 −5 惩罚）,【分层】原文事实=观测/动作层无寿命字段；【推演】可预报性在观测/动作层被闲置——'唯一用点=eq.(13) 模型继承'该表述以'观测/动作层无寿命字段'为前提（原文全文未穷尽）,观测加 k 个出 ISL 的 τ_ho（下次几何违约/matching 失配预测时刻−now；本地星历计算）；屏蔽阈值 T* 三候选（固定 15s / 包相关=预计剩余转发时间 / 仅特征不屏蔽）主实验+消融；走通一次决策+一次更新：ε-greedy 前对 τ_ho<T* 动作置 −inf，target 的 max_a′ 同样只在存活集上取，奖励不变（注明与'不可用链路 −5'可达集交互，消融寿命惩罚项）；收益上界=连续拓扑基线中'被路由向剩余转发时间内将关闭链路'的包占比（第一核验产出）；快照模式下机制贡献恒 0（前提待对模拟器代码核实）；LOZANO 开源模拟器无 LICENSE——改造仅限内部复现，不公开衍生,固定规则'切换前 T 秒禁用该 ISL'（与屏蔽同构，计划内大半可解；不解决 T×队列耦合与非计划失效）；更密快照（消构造性陈旧，不消最后一刻断裂）；下一快照拓扑入观测（特征近等价、屏蔽机制不等价）；完整替代栈=A1 固定死线+A3 下一快照观测+Yan25b（ICC'25 传输层精确时间戳停发，-60.5% 恢复时间/+55% 吞吐，摘要级）+Ort25（NetSoft'26 表级标称路由 DQL 兜底，摘要级）；He20/Zha26l/Jin26 未核,决策时刻唯一化：ISL 转发屏蔽为主，GSL 出口决策为第二时刻（τ_gw 入观测或屏蔽）；决策→更新闭环=屏蔽同时作用于动作选择与 target 的 max_a′,第一核验=连续拓扑基线日志统计收益上界占比；其次=切换窗口 vs 非窗口丢包差（先核 STARTCAP 15s 的测量覆盖面）；LOZANO 模拟器连续拓扑（2-3 天）,,,,,,,1,hf721996e3f09,path-B/卡3,agent/20260910-topic-loop,2026-09-10T21:32:19+0800,revise: 整合三角色意见：决策时刻拆分/τ_ho可操作化/屏蔽进target/收益上界前置/替代栈补全/证据分级降格/许可证边界（全部采纳，无驳回）
3,cc72be0cbef,3,status_change,awaiting_evidence,星历可预报的链路剩余寿命不在任何观测向量里（切换时刻的到达率坑）,逐包逐跳路由；主决策时刻=ISL 转发决策，第二时刻=GSL 出口决策（承重实测证据在 GSL/接入层，对位说明为通过前置）；ISL 遥断限'标称星历下的计划内遥断'（SHORT/MobiCom'24 提示轨道机动与随机失效弱化可预报性，计划内事件占比待统计）；τ_ho 为本地星历可计算的每-ISL 秒级标量（非通信获取）；GSL≈15s 周期中断为实测锚但 15s 非普适（STARTCAP 单终端样本警告，待回原文）；IZHIKEVICH 15s 尖峰为'对齐已报道周期'且全文无丢包数据（不直接承重交付坑）,在途包撞上将死 ISL→丢失或最后一刻重路由（推演，尚无数字支撑；切换窗口丢包统计已升为前置核验）；LOZANO 28 维状态/CHOU eq.(3)/LIAQ 状态/HE 观测均无寿命字段（证据审查逐字命中）；断链只事后编码（'拥塞=∞'+不可用链路 −5 惩罚）,【分层】原文事实=观测/动作层无寿命字段；【推演】可预报性在观测/动作层被闲置——'唯一用点=eq.(13) 模型继承'该表述以'观测/动作层无寿命字段'为前提（原文全文未穷尽）,观测加 k 个出 ISL 的 τ_ho（下次几何违约/matching 失配预测时刻−now；本地星历计算）；屏蔽阈值 T* 三候选（固定 15s / 包相关=预计剩余转发时间 / 仅特征不屏蔽）主实验+消融；走通一次决策+一次更新：ε-greedy 前对 τ_ho<T* 动作置 −inf，target 的 max_a′ 同样只在存活集上取，奖励不变（注明与'不可用链路 −5'可达集交互，消融寿命惩罚项）；收益上界=连续拓扑基线中'被路由向剩余转发时间内将关闭链路'的包占比（第一核验产出）；快照模式下机制贡献恒 0（前提待对模拟器代码核实）；LOZANO 开源模拟器无 LICENSE——改造仅限内部复现，不公开衍生,固定规则'切换前 T 秒禁用该 ISL'（与屏蔽同构，计划内大半可解；不解决 T×队列耦合与非计划失效）；更密快照（消构造性陈旧，不消最后一刻断裂）；下一快照拓扑入观测（特征近等价、屏蔽机制不等价）；完整替代栈=A1 固定死线+A3 下一快照观测+Yan25b（ICC'25 传输层精确时间戳停发，-60.5% 恢复时间/+55% 吞吐，摘要级）+Ort25（NetSoft'26 表级标称路由 DQL 兜底，摘要级）；He20/Zha26l/Jin26 未核,决策时刻唯一化：ISL 转发屏蔽为主，GSL 出口决策为第二时刻（τ_gw 入观测或屏蔽）；决策→更新闭环=屏蔽同时作用于动作选择与 target 的 max_a′,第一核验=连续拓扑基线日志统计收益上界占比；其次=切换窗口 vs 非窗口丢包差（先核 STARTCAP 15s 的测量覆盖面）；LOZANO 模拟器连续拓扑（2-3 天）,,,,,,,1,hf721996e3f09,path-B/卡3,agent/20260910-topic-loop,2026-09-10T21:32:54+0800,status_change: 修订后待前置核验（收益上界统计+切换窗口丢包差）；本轮=流程验证，不做价值裁决
4,c30b20940a3,1,add,awaiting_evidence,队列状态的信息龄没有进入观测：陈旧邻居状态下的过矫正振荡,邻居队列/拥塞状态按周期更新且龄期不进观测（LOZANO 28维已核）；多上游共享同一短队列快照；ISL 传播+排队+更新间隔构成龄期 Δ,陈旧状态驱动多代理羊群式过矫正振荡（flapping）；仿真可观察：决策时队短执行时已满的条件概率、切换极限环、age 分布对误判率条件曲线,部分可观测×多智能体非平稳的复合失败：龄期缺失使 TD 目标与策略梯度相对当前网络有偏（tao25 §1 flapping 实证）,观测+训练环节：每条邻居特征打时间戳，age 作为策略输入（age-conditioned policy）；训练时按龄加噪/衰减数据增强,带滞回的固定阈值规则（TLR 式）解决轻中度大半；ELB 信令加时间戳+信任衰减=同等信息；成熟 RL 慢更新+低 ε 压振荡,观测特征+策略输入（age-conditioned）；机制=对老信息降权→少过矫正切换,两队列负载均衡小算例（M/M/1+信息龄 Δ）：振荡幅度随 Δ/排空时间比的增长曲线,,,,,,,,h30b20940a388,path-A/卡A（试运行材料标签）,agent/20260910-topic-loop/miniflow-r3,2026-09-10T22:55:51+0800,
5,c2eb5bbbb45,1,add,awaiting_evidence,run1-A1 状态信息陈旧度作为观测/奖励一等维度,逐包逐跳路由；邻居队列经信令周期刷新（LOZANO 16值无年龄维度，p12-15已核）；多代理共享快照,陈旧观测致系统性高估绕行价值+羊群；无年龄-性能曲线（WEIL 旋钮未量化）,部分可观测×策略耦合双重失败：陈旧观测被当可见噪声,"远端特征加年龄维度/年龄注入课程/错误改道惩罚；SatCom-TELMA 延迟{0,1,2,5}拍扫描",信令频率提到决策级直接消除年龄（若开销可接受，威胁最大）；年龄当普通特征拼接,观测端+训练课程,开源模拟器延迟拍扫描 1-2 天,,,,,,,,h2eb5bbbb45c9,run1/path-A 卡A,agent/20260910-topic-loop/run1,2026-09-11T00:15:13+0800,
6,cdc4ea70704,1,add,awaiting_evidence,run1-A2 TTL预算下等待vs立即转发为一级动作,拥塞峰/切换窗临近；本星队列+邻居队列+链路剩余接触时间+包剩余TTL（后两者现有方法缺席）,wait 的收益延迟兑现且以真实丢包支付探索学费；PRIMAL 动作仅4条ISL无wait（已核）；WEIL 有wait无TTL语义（已核）,均值 critic 系统性低估罕见『等待救包』；不可逆转发与可逆等待未被分开定价,动作端加 wait 档/hold-until-t；观测加剩余寿命+TTL；送达+/超时−/缓存占用三分解奖励+IQN 尾部估计,TTL/队列双阈值 hold 固定规则（约60%）；现有框架直接加第5动作（60-80%）,动作端扩维,两类错误（转发后溢出/持有超时）计数与可避免性标注，半天零训练,,,,,,,,hdc4ea70704f6,run1/path-A 卡B,agent/20260910-topic-loop/run1,2026-09-11T00:15:13+0800,
7,c3c9c86d5f0,1,add,awaiting_evidence,run1-A3 不可逆动作的探索学费——交付率作显式CMDP约束,逐包错误不可逆（环路耗TTL/错链路丢包）；学习早期高探索期以真实交付率付学费；仅局部观测,主流奖励为稠密塑形（距离/队列），交付率无内部保护信号；训练前期交付先崩后升（推演）,约束RL若不约束交付率则交付无保护；GraphPR-RSPH/Weil masking 只防环不管学费,不可达/成环屏蔽+CQL式保守价值下界+交付率写为CMDP显式约束（Lagrangian）+在线探索预算-交付损失曲线,离线预训练+上星ε锁小（LOZANO 已示范，猜想消除70-90%学费）；RSPH+阈值防环约80%,奖励/约束端+部署端,开源仿真器完整训练一次输出损失来源分解堆积图，1天,,,,,,,,h3c9c86d5f04f,run1/path-A 卡C,agent/20260910-topic-loop/run1,2026-09-11T00:15:13+0800,
8,c8db39131b7,1,add,awaiting_evidence,run1-A4 非平稳分解：拓扑周期性vs流量漂移对策略过时的相对贡献,星上策略长期服役；拓扑随轨道演化（96min/15s）+流量昼夜波动；更新本身有代价风险,LOZANO 持续学习/CKA 未分解两类非平稳贡献；何时更新为固定日程而非信息驱动,可预报变化（轨道相位）正确解是条件化而非持续学习——持续学习在可预报变化上浪费预算且引入遗忘,轨道相位/相对几何作上下文输入（条件策略）；性能监测+CKA 触发按需更新；相位条件化vs周期重训vs持续学习三对照,每轨道周期重训（50-70%）；最短路兜底+仅拥塞期学习介入,观测端（上下文化）+更新触发机制,固定策略×{拓扑变/流量变/双变}×3-5轨道周期漂移分解，2天,,,,,,,,h8db39131b7b3,run1/path-A 卡D,agent/20260910-topic-loop/run1,2026-09-11T00:15:13+0800,
9,c10a5284839,1,add,awaiting_evidence,run1-B1 邻居状态刷新合同：新鲜度×量化开销×负载相图,逐包转发；LOZANO 28字段状态（16邻居拥塞，PDF 原句已核）；Δ=刷新周期+传播处理时延在四篇锚点论文均为隐式常量,无一报告性能对Δ的敏感度：Δ过大→羊群丢包；Δ过小→状态交换挤占业务容量（Liu2026 TAP-DAR 摘要称时延-16.16%/丢包-30%但未读原文）,相图存在随负载移动的最优Δ；直接用陈旧值vs年龄修正预测值两种观测未对比,Δ×量化位数×负载三维扫描合同化；陈旧值vs年龄修正预测两种观测对照,TAP-DAR 预测补偿（直接碰撞，须先读原文）；ELB/TLR 阈值调参,观测+更新方式（合同化）,观测注入人为延迟Δ×负载网格看交付率悬崖，半天-1天,,,,,,,,h10a52848398b,run1/path-B 卡B1,agent/20260910-topic-loop/run1,2026-09-11T00:15:13+0800,
10,ca2339b16ae,1,add,awaiting_evidence,run1-B2 丢弃事件跨节点归因断裂：到达率在奖励合同里没人负责,卫星i转发给近满队列的j，包在j或下游或TTL被丢；决策者观测不到最终是否送达,HE 表I学习算法丢包全0.00%（收益全在时延，合同工程化）；DONG 无交付指标；CHOU 吞吐87.5%交付与丢包46.81%自相矛盾——到达率口径文献内部不可靠,丢弃责任分散在路径多决策者，队列代理最优化致『踢给下游』或『囤积』，中等负载带到达率劣于可达值,丢弃位置分桶统计可影响占比；队列代理奖励vs丢弃反传奖励的交付-时延前沿对比,源/接入端归因改善（路由端无用）；Pareto 权重问题非归因问题,奖励端,按丢弃位置分桶+奖励项-交付率相关性，1天,,,,,,,,ha2339b16ae8e,run1/path-B 卡B2,agent/20260910-topic-loop/run1,2026-09-11T00:15:13+0800,
