review_id,cand_id,ledger_content_hash,candidate_file,candidate_file_sha256,role,file,status,updated_at,note
R1-B3-builder,cc72be0cbef,haa9dadab679e,/Users/lge/Desktop/leo-direct-sim/.worktrees/topic-loop-20260910/round/miniflow/card-B3.md,28acb6351f00a1d5998095f3217f1fcad2d2376cb185ebf6d12c5f041323e2bc,builder,round/miniflow/op-builder.md,needs_review,2026-09-10T21:32:19+0800, | 承重字段变更，自动置待复核 | R4迁移：回填候选文件指纹（自盘上未变文件重算）
R2-B3-neighbor,cc72be0cbef,haa9dadab679e,/Users/lge/Desktop/leo-direct-sim/.worktrees/topic-loop-20260910/round/miniflow/card-B3.md,28acb6351f00a1d5998095f3217f1fcad2d2376cb185ebf6d12c5f041323e2bc,neighbor,round/miniflow/op-neighbor.md,needs_review,2026-09-10T21:32:19+0800, | 承重字段变更，自动置待复核 | R4迁移：回填候选文件指纹（自盘上未变文件重算）
R3-B3-evidence,cc72be0cbef,haa9dadab679e,/Users/lge/Desktop/leo-direct-sim/.worktrees/topic-loop-20260910/round/miniflow/card-B3.md,28acb6351f00a1d5998095f3217f1fcad2d2376cb185ebf6d12c5f041323e2bc,evidence,round/miniflow/op-evidence.md,needs_review,2026-09-10T21:32:19+0800, | 承重字段变更，自动置待复核 | R4迁移：回填候选文件指纹（自盘上未变文件重算）
R5-A1-history,c30b20940a3,h30b20940a388,/Users/lge/Desktop/leo-direct-sim/.worktrees/topic-loop-20260910/round/miniflow-r3/card-A1.md,9b8f1efb524b7f8b6586068723f8513a685d905c1bb9585cf352d601899ac52b,history-collision,round/miniflow-r3/op-history-cardA1.md,active,2026-09-10T22:55:51+0800,历史碰撞审查③：对账义务见 MASTER-DISPOSITION | R4迁移：回填候选文件指纹（自盘上未变文件重算）
R6-F1-builder,cc24a3f94e5,hb6e9ef8a6a75,/Users/lge/Desktop/leo-direct-sim/.worktrees/topic-loop-20260910/round/run1/draft-F1-deepened.md,108099c19cbc20bc694ed49ec1f83dc0f7d4d712bd6a0bf45344f0c6c600bb1e,builder,round/run1/op-review-builder.md,needs_review,2026-09-11T00:55:26+0800, | 承重字段变更，自动置待复核
R7-F1-neighbor,cc24a3f94e5,hb6e9ef8a6a75,/Users/lge/Desktop/leo-direct-sim/.worktrees/topic-loop-20260910/round/run1/draft-F1-deepened.md,108099c19cbc20bc694ed49ec1f83dc0f7d4d712bd6a0bf45344f0c6c600bb1e,neighbor,round/run1/op-review-neighbor.md,needs_review,2026-09-11T00:55:26+0800, | 承重字段变更，自动置待复核
R8-F1-evidence,cc24a3f94e5,hb6e9ef8a6a75,/Users/lge/Desktop/leo-direct-sim/.worktrees/topic-loop-20260910/round/run1/draft-F1-deepened.md,108099c19cbc20bc694ed49ec1f83dc0f7d4d712bd6a0bf45344f0c6c600bb1e,evidence,round/run1/op-review-evidence.md,needs_review,2026-09-11T00:55:26+0800, | 承重字段变更，自动置待复核
R9-B3-builder,cc029fa6119,hc029fa611910,/Users/lge/Desktop/leo-direct-sim/.worktrees/topic-loop-20260910/round/run1/draft-B3-deepened.md,cc45f7f8fcc948c675195be59c66f8db62e89e9dd5f8c831625464c858239932,builder,round/run1/op-review-builder.md,needs_review,2026-09-11T00:55:25+0800, | 承重字段变更，自动置待复核
R10-B3-neighbor,cc029fa6119,hc029fa611910,/Users/lge/Desktop/leo-direct-sim/.worktrees/topic-loop-20260910/round/run1/draft-B3-deepened.md,cc45f7f8fcc948c675195be59c66f8db62e89e9dd5f8c831625464c858239932,neighbor,round/run1/op-review-neighbor.md,needs_review,2026-09-11T00:55:25+0800, | 承重字段变更，自动置待复核
R11-B3-evidence,cc029fa6119,hc029fa611910,/Users/lge/Desktop/leo-direct-sim/.worktrees/topic-loop-20260910/round/run1/draft-B3-deepened.md,cc45f7f8fcc948c675195be59c66f8db62e89e9dd5f8c831625464c858239932,evidence,round/run1/op-review-evidence.md,needs_review,2026-09-11T00:55:25+0800, | 承重字段变更，自动置待复核
R12-L1-neighbor,cc72be0cbef,hfa9da9496480,/Users/lge/Desktop/leo-direct-sim/.worktrees/topic-loop-20260910/round/run1/card-L1-lifetime.md,bd31b6033692ee756bed210bbf7bc334ebc6f9fa2b0784abe757c89e88820495,neighbor,round/run1/op-review-neighbor.md,needs_review,2026-09-11T00:55:26+0800, | 承重字段变更，自动置待复核
R13-L1-evidence,cc72be0cbef,hfa9da9496480,/Users/lge/Desktop/leo-direct-sim/.worktrees/topic-loop-20260910/round/run1/card-L1-lifetime.md,bd31b6033692ee756bed210bbf7bc334ebc6f9fa2b0784abe757c89e88820495,evidence,round/run1/op-review-evidence.md,needs_review,2026-09-11T00:55:26+0800, | 承重字段变更，自动置待复核
DR1-history,c0cd8adaad7,,round/run2/dryrun/cards-dryrun.json,13f7bd1274551d2ce555153f87b27302f52f391ad3967322fe41f7f777ed711e,history,round/run2/dryrun/op-history-dryrun.md,active,2026-09-11T02:37:16+0800,dryrun 注册
DR2-history,c0cd8adaad7,h0cd8adaad737,round/run2/dryrun/cards-dryrun.json,13f7bd1274551d2ce555153f87b27302f52f391ad3967322fe41f7f777ed711e,history,round/run2/dryrun/op-history-dryrun.md,needs_review,2026-09-11T02:37:45+0800,dryrun 正确哈希 | 承重字段变更，自动置待复核
