source_id,title,authors,year,venue,doi_or_url,local_path,source_type,access_status,review_status,support_level,scope,notes
STARTCAP-2024,"StarTCP: Handover-aware Transport Protocol for Starlink","Jiang, Li; Zhang, Yihang; Hu, Yannan; Cui, Yong; Zhang, Xinggong",2024,"ACM APNet 2024","https://doi.org/10.1145/3663408.3665803","",conference_paper,online,metadata_and_abstract_checked,supporting_measurement,"GSL handovers cause bursty packet loss/link interruptions; Starlink measurements show periodic handovers around 15s.","Checked title/venue/DOI via web index; full-text page numbers not retained in workspace."
IZHIKEVICH-2024,"Democratizing LEO Satellite Network Measurement","Izhikevich, Liz et al.",2024,"ACM SIGMETRICS / IFIP Performance 2024","https://arxiv.org/abs/2306.07469","",preprint_and_venue,online,metadata_and_abstract_checked,supporting_context,"Real Starlink path/latency complexity; supports caution when reducing GSL/ISL behavior to simple availability.","arXiv metadata and venue mapping checked; not a full-text extraction."
MA-2022,"Effect of Strong Time-Varying Transmission Distance on LEO Satellite-Terrestrial Deliveries","Ma et al.",2022,"IEEE Transactions on Vehicular Technology","https://arxiv.org/abs/2206.05428","",journal_paper,online,metadata_and_abstract_checked,supporting_model,"Finite-state Markov channel model and delay outage rate for LEO satellite-terrestrial links.","Grounded basis for time-varying Markov link outage; not a parameter calibration."
GUVEN-2023,"Multi-State Inter-Satellite Channel Models","Güven, G.; Ben Yahia, S.; Kurt, G. K.",2023,"arXiv","https://arxiv.org/abs/2305.07207","",preprint,online,metadata_and_abstract_checked,supporting_model,"Markov state model for ISL outage/BER behavior.","Supports Markov-state link outage abstraction, not direct Starlink calibration."
GANNON-2024,"Continuous Spacecraft Communications via Make-Before-Break Antenna Array Beam Steering","Gannon et al.",2024,"IEEE ICC 2024","https://doi.org/10.1109/ICC51166.2024.10622772","",conference_paper,online,metadata_and_abstract_checked,supporting_mechanism,"Practical make-before-break with dual-beam antenna; motivates no-gap GSL handover abstraction.","Checked title/venue/DOI via web index; not a full-text extraction."
GILBERT-ELLIOTT,"Gilbert-Elliott two-state Markov burst-error model","Gilbert, E. N.; Elliott, E. O.",1963,"Bell System Technical Journal / standard model","NTIA Technical Memorandum TM-23-565 (external)","",standard_model,online,standard_model_rechecked,supporting_model,"Good/bad Markov state abstraction for burst errors and link outage.","Used only as a modeling basis, not as Starlink-specific calibration."
RAN-2025-GRAPHPR,"Fully-Distributed Dynamic Packet Routing for LEO Satellite Networks: A GNN-Enhanced Multi-Agent Reinforcement Learning Approach (GraphPR)","Ran, Yongyi; Ding, Yajie; Chen, Shuangwu; Lei, Jizhao; Luo, Jiangtao",2025,"IEEE Transactions on Vehicular Technology 74(3):5229-5234","https://doi.org/10.1109/TVT.2024.3499933","related-work-notes/papers-txt/Ran_等_-_2025_-_Fully-Distributed_Dynamic_Packet_Routing_for_LEO_Satellite_Networks_A_GNN-Enhanced_Multi-Agent_Rein.pdf.txt",journal_paper,online_and_local,metadata_verified_multi_source,directly_related,"A: GAT+MADRL fully-distributed per-packet routing; POMDP; one-hop neighbor info; queue length as core metric; RSPH loop avoidance.","精读候选1;与本研究设定最接近;letter篇幅短;无AoI;代码未验证。"
GAO-2026-RAOI,"Toward the Age in Forwarding: A Deep Reinforcement Learning Enabled Routing Mechanism for Large-Scale Satellite Networks via Spatial-Temporal Graph Neural Networks","Gao, Ronghao; Zhang, Bo; Zhang, Qinyu; Yang, Zhihua",2026,"IEEE/ACM Transactions on Networking 34:292-","https://doi.org/10.1109/TON.2025.3597928","",journal_paper,online,metadata_verified_multi_source,directly_related,"A: Routing-aware AoI (RAoI) as DRL reward + spatial-temporal GNN; baselines OSPF/DQN-IR/GraphPR.","精读候选2;AoI度量被转发数据而非路由状态信息;slotting离散化;代码未验证。"
LI-2025-POMAP,"Efficient Packet Routing for Large-Scale LEO Satellite Networks: A Pareto-Optimal MARL Approach With Queueing Theory","Li, Shuyang; Wu, Guanchen; Wu, Qiang; Wang, Ran; Zhang, Hongke",2025,"IEEE Internet of Things Journal 12(22):46675-46691","https://doi.org/10.1109/JIOT.2025.3610772","related-work-notes/papers-txt/Li_等_-_2025_-_Efficient_Packet_Routing_for_Large-Scale_LEO_Satellite_Networks_A_Pareto-Optimal_MARL_Approach_With.pdf.txt",journal_paper,online_and_local,metadata_verified_multi_source,directly_related,"A: POMDP + queueing (G/G/1/K+AQM+WPQ) + MAPPO Pareto delay/energy/loss.","S/A/R细节未从原文核实(付费墙);引用技术细节前须读原文。"
LOZANO-2025-CONTINUAL,"Continual Deep Reinforcement Learning for Decentralized Satellite Routing","Lozano-Cuadra, Federico; Soret, Beatriz; Leyva-Mayorga, Israel; Popovski, Petar",2025,"IEEE Transactions on Communications 73(10):8996-9012","https://doi.org/10.1109/TCOMM.2025.3562522","related-work-notes/papers-txt/Lozano-Cuadra_等_-_2024_-_Continual_Deep_Reinforcement_Learning_for_Decentralized_Satellite_Routing.pdf.txt",journal_paper,online_and_local,metadata_verified_multi_source,directly_related,"A/B: partial knowledge + congestion adaptation + model staleness via continual learning/model anticipation/federated; code public (SatCom-TELMA/MA-DRL_Routing_Simulator).","精读候选3;开源可复现;无GNN;基线主要shortest-path。"
